representation,classifier,subject,actual,predicted,correct,recordings,decision_score
mean_std,LogisticRegression,co2a0000364,1,1,True,30,9.615525406969818
mean_std,LogisticRegression,co2a0000365,1,1,True,30,2.9523065752848714
mean_std,LogisticRegression,co2a0000368,1,1,True,24,2.7655561255245162
mean_std,LogisticRegression,co2a0000369,1,0,False,30,-5.304361444848076
mean_std,LogisticRegression,co2a0000370,1,1,True,30,5.931627682658748
mean_std,LogisticRegression,co2a0000371,1,1,True,30,6.463369685944607
mean_std,LogisticRegression,co2a0000372,1,1,True,30,2.754239889172139
mean_std,LogisticRegression,co2a0000375,1,0,False,30,-4.775513493012885
mean_std,LogisticRegression,co2a0000377,1,1,True,30,4.252346933172695
mean_std,LogisticRegression,co2a0000378,1,0,False,30,-3.0724937750274273
mean_std,LogisticRegression,co2c0000337,0,1,False,30,0.7138557766621173
mean_std,LogisticRegression,co2c0000338,0,1,False,30,3.1734607398958836
mean_std,LogisticRegression,co2c0000339,0,0,True,30,-2.4678234600506475
mean_std,LogisticRegression,co2c0000340,0,0,True,30,-4.816010887675219
mean_std,LogisticRegression,co2c0000341,0,0,True,29,-3.794861124139463
mean_std,LogisticRegression,co2c0000342,0,0,True,30,-0.6751906784162933
mean_std,LogisticRegression,co2c0000344,0,0,True,30,-1.9678257107811676
mean_std,LogisticRegression,co2c0000345,0,0,True,30,-5.877435380804276
mean_std,LogisticRegression,co2c0000346,0,1,False,30,0.7082574564782793
mean_std,LogisticRegression,co2c0000347,0,0,True,30,-7.062421345811419
mean_std,LinearSVM,co2a0000364,1,1,True,30,1.8560327306052489
mean_std,LinearSVM,co2a0000365,1,1,True,30,0.6786926575671833
mean_std,LinearSVM,co2a0000368,1,1,True,24,0.4031704439550137
mean_std,LinearSVM,co2a0000369,1,0,False,30,-0.9086894535097375
mean_std,LinearSVM,co2a0000370,1,1,True,30,1.0806693028030545
mean_std,LinearSVM,co2a0000371,1,1,True,30,1.1928700194483224
mean_std,LinearSVM,co2a0000372,1,1,True,30,0.46459941182797043
mean_std,LinearSVM,co2a0000375,1,0,False,30,-0.7356649562992165
mean_std,LinearSVM,co2a0000377,1,1,True,30,0.7891951113359481
mean_std,LinearSVM,co2a0000378,1,0,False,30,-0.6017999496136243
mean_std,LinearSVM,co2c0000337,0,0,True,30,-0.10394486746835356
mean_std,LinearSVM,co2c0000338,0,1,False,30,0.538203990013803
mean_std,LinearSVM,co2c0000339,0,0,True,30,-0.5767735854535518
mean_std,LinearSVM,co2c0000340,0,0,True,30,-0.8695981772402593
mean_std,LinearSVM,co2c0000341,0,0,True,29,-0.7421773903429808
mean_std,LinearSVM,co2c0000342,0,0,True,30,-0.15959474005929228
mean_std,LinearSVM,co2c0000344,0,0,True,30,-0.35311014209300146
mean_std,LinearSVM,co2c0000345,0,0,True,30,-1.1449321374550834
mean_std,LinearSVM,co2c0000346,0,1,False,30,0.03201193307138454
mean_std,LinearSVM,co2c0000347,0,0,True,30,-1.3845943273735886
mean_std,RBFSVM,co2a0000364,1,1,True,30,0.14251692220182632
mean_std,RBFSVM,co2a0000365,1,0,False,30,-0.055919314319088226
mean_std,RBFSVM,co2a0000368,1,1,True,24,0.1722996999358625
mean_std,RBFSVM,co2a0000369,1,0,False,30,-0.41486724407851217
mean_std,RBFSVM,co2a0000370,1,1,True,30,0.3621139664949956
mean_std,RBFSVM,co2a0000371,1,1,True,30,0.2581006722019708
mean_std,RBFSVM,co2a0000372,1,1,True,30,0.09933993932871281
mean_std,RBFSVM,co2a0000375,1,0,False,30,-0.0680730494995402
mean_std,RBFSVM,co2a0000377,1,1,True,30,0.38197858494387976
mean_std,RBFSVM,co2a0000378,1,0,False,30,-0.2633767223880714
mean_std,RBFSVM,co2c0000337,0,1,False,30,0.08162607357028864
mean_std,RBFSVM,co2c0000338,0,1,False,30,0.032863042209677396
mean_std,RBFSVM,co2c0000339,0,1,False,30,0.008177115295173565
mean_std,RBFSVM,co2c0000340,0,0,True,30,-0.45445727571444505
mean_std,RBFSVM,co2c0000341,0,0,True,29,-0.3692691362202619
mean_std,RBFSVM,co2c0000342,0,0,True,30,-0.10826954198925354
mean_std,RBFSVM,co2c0000344,0,0,True,30,-0.41986505422726866
mean_std,RBFSVM,co2c0000345,0,0,True,30,-0.24373654428988112
mean_std,RBFSVM,co2c0000346,0,0,True,30,-0.03382020491757459
mean_std,RBFSVM,co2c0000347,0,0,True,30,-0.3814779498148615
mean_std_median,LogisticRegression,co2a0000364,1,1,True,30,11.228910496631851
mean_std_median,LogisticRegression,co2a0000365,1,1,True,30,3.6024327219608816
mean_std_median,LogisticRegression,co2a0000368,1,1,True,24,4.58726178227444
mean_std_median,LogisticRegression,co2a0000369,1,0,False,30,-6.471000027099315
mean_std_median,LogisticRegression,co2a0000370,1,1,True,30,6.471239080413767
mean_std_median,LogisticRegression,co2a0000371,1,1,True,30,7.939667917240813
mean_std_median,LogisticRegression,co2a0000372,1,1,True,30,2.826039414181026
mean_std_median,LogisticRegression,co2a0000375,1,0,False,30,-6.001587405841228
mean_std_median,LogisticRegression,co2a0000377,1,1,True,30,5.203958329625263
mean_std_median,LogisticRegression,co2a0000378,1,0,False,30,-4.008149449910687
mean_std_median,LogisticRegression,co2c0000337,0,1,False,30,1.592161409969733
mean_std_median,LogisticRegression,co2c0000338,0,1,False,30,3.8404750649292714
mean_std_median,LogisticRegression,co2c0000339,0,0,True,30,-2.8396428151106274
mean_std_median,LogisticRegression,co2c0000340,0,0,True,30,-6.681519218939006
mean_std_median,LogisticRegression,co2c0000341,0,0,True,29,-3.9017961183311654
mean_std_median,LogisticRegression,co2c0000342,0,0,True,30,-1.083499048003425
mean_std_median,LogisticRegression,co2c0000344,0,0,True,30,-1.9392261948458593
mean_std_median,LogisticRegression,co2c0000345,0,0,True,30,-6.118032522642877
mean_std_median,LogisticRegression,co2c0000346,0,1,False,30,0.3440028760553015
mean_std_median,LogisticRegression,co2c0000347,0,0,True,30,-7.358478791351119
mean_std_median,LinearSVM,co2a0000364,1,1,True,30,2.065285765250668
mean_std_median,LinearSVM,co2a0000365,1,1,True,30,0.7392887379458648
mean_std_median,LinearSVM,co2a0000368,1,1,True,24,0.6438672649033069
mean_std_median,LinearSVM,co2a0000369,1,0,False,30,-1.1140728279448346
mean_std_median,LinearSVM,co2a0000370,1,1,True,30,1.0742016512186332
mean_std_median,LinearSVM,co2a0000371,1,1,True,30,1.3451677207978805
mean_std_median,LinearSVM,co2a0000372,1,1,True,30,0.40750167765788664
mean_std_median,LinearSVM,co2a0000375,1,0,False,30,-0.8614679996816385
mean_std_median,LinearSVM,co2a0000377,1,1,True,30,0.8942996223325138
mean_std_median,LinearSVM,co2a0000378,1,0,False,30,-0.7192632200688004
mean_std_median,LinearSVM,co2c0000337,0,1,False,30,0.01622230465037684
mean_std_median,LinearSVM,co2c0000338,0,1,False,30,0.6360436915649895
mean_std_median,LinearSVM,co2c0000339,0,0,True,30,-0.5777009789179178
mean_std_median,LinearSVM,co2c0000340,0,0,True,30,-1.136765985874948
mean_std_median,LinearSVM,co2c0000341,0,0,True,29,-0.744075487112565
mean_std_median,LinearSVM,co2c0000342,0,0,True,30,-0.2097751064881081
mean_std_median,LinearSVM,co2c0000344,0,0,True,30,-0.3449868460136918
mean_std_median,LinearSVM,co2c0000345,0,0,True,30,-1.1231019176218366
mean_std_median,LinearSVM,co2c0000346,0,0,True,30,-0.05856627131420462
mean_std_median,LinearSVM,co2c0000347,0,0,True,30,-1.3497857211324331
mean_std_median,RBFSVM,co2a0000364,1,1,True,30,0.15876373044079473
mean_std_median,RBFSVM,co2a0000365,1,1,True,30,0.023326491324310056
mean_std_median,RBFSVM,co2a0000368,1,1,True,24,0.28693261170553336
mean_std_median,RBFSVM,co2a0000369,1,0,False,30,-0.4704488642790372
mean_std_median,RBFSVM,co2a0000370,1,1,True,30,0.42554058742969325
mean_std_median,RBFSVM,co2a0000371,1,1,True,30,0.25349278376273776
mean_std_median,RBFSVM,co2a0000372,1,1,True,30,0.10761921327365191
mean_std_median,RBFSVM,co2a0000375,1,0,False,30,-0.11242960620628364
mean_std_median,RBFSVM,co2a0000377,1,1,True,30,0.4348504929535022
mean_std_median,RBFSVM,co2a0000378,1,0,False,30,-0.28644430423374234
mean_std_median,RBFSVM,co2c0000337,0,1,False,30,0.12273850230417314
mean_std_median,RBFSVM,co2c0000338,0,1,False,30,0.05618280730267658
mean_std_median,RBFSVM,co2c0000339,0,1,False,30,0.07030010749140439
mean_std_median,RBFSVM,co2c0000340,0,0,True,30,-0.5380030114635737
mean_std_median,RBFSVM,co2c0000341,0,0,True,29,-0.4373131689594564
mean_std_median,RBFSVM,co2c0000342,0,0,True,30,-0.22307775377606417
mean_std_median,RBFSVM,co2c0000344,0,0,True,30,-0.47368088643992295
mean_std_median,RBFSVM,co2c0000345,0,0,True,30,-0.3004149387241475
mean_std_median,RBFSVM,co2c0000346,0,0,True,30,-0.12351484892693157
mean_std_median,RBFSVM,co2c0000347,0,0,True,30,-0.43729550950070434
